name,calories,fats,proteins,carbohydrates
"Sugars, granulated",386,0,0,100
"Fructose sweetener, sugar substitute, dry powder",368,0,0,100
"Sugars, powdered",389,0,0,100
"Sugar, white, granulated or lump",387,0,0,100
"Sugar, NFS",387,0,0,100
"Sugar, turbinado",399,0,0,100
"Sugar, white, confectioner's, powdered",389,0,0,100
"Sweeteners, for baking, contains sugar and sucralose",398,0,0,100
"Sugar substitute, sugar-aspartame blend, dry powder",387,0,0,100
"Beverages, tea, instant, decaffeinated, lemon, sweetened",401,1,0,99
Gumdrops,396,0,0,99
"Desserts, rennin, vanilla, dry mix",383,0,0,99
"Beverages, tea, instant, lemon, sweetened, powder",401,1,0,99
"Sugar, cinnamon",377,0,0,99
"Strawberry-flavor beverage mix, powder",389,0,0,99
"Strawberry beverage powder, dry mix, not reconstituted",389,0,0,99
"Fruit flavored drink, with high vitamin C, powdered, not reconstituted",386,0,0,99
"Dietetic or low calorie candy, NFS",394,0,0,99
"Candies, gumdrops, starch jelly pieces",396,0,0,99
"Tea, iced, instant, black, pre-sweetened, dry",401,1,0,99
Dietetic or low calorie mints,394,0,0,99
Dietetic or low calorie hard candy,394,0,0,99
"Beverages, orange-flavor drink, breakfast type, powder",386,0,0,99
"Candy, NFS",394,0,0,98
"Sugar, carmelized",380,0,0,98
"Sugars, brown",380,0,0,98
Hard candy,394,0,0,98
"Candies, hard",394,0,0,98
"Sugar, brown",380,0,0,98
"Beverages, lemonade-flavor drink, powder",380,1,0,98
"Sports drink, dry concentrate, not reconstituted",380,1,0,98
"Fruit flavored drink, powdered, not reconstituted",380,1,0,98
"Beverages, tea, instant, lemon, with added ascorbic acid",385,0,1,98
"Sugar, raw",380,0,0,98
"Beverages, Lemonade, powder",376,1,0,98
"Chewing gum, regular",360,0,0,97
"Beverages, Whiskey sour mix, powder",383,0,1,97
Chewing gum,360,0,0,97
"Sweeteners, for baking, brown, contains sugar and sucralose",388,0,0,97
Chinese preserved sweet vegetable,371,0,0,96
"Frostings, white, fluffy, dry mix",371,0,2,95
"Puddings, lemon, dry mix, instant",378,1,0,95
"Coffee, instant, pre-sweetened with sugar, not reconstituted",380,0,2,95
"Chewing gum, NFS",296,0,0,95
"Chewing gum, sugar free",268,0,0,95
"Puddings, tapioca, dry mix",369,0,0,94
Licorice,375,0,0,94
"Beverages, drink mix, QUAKER OATS, GATORADE, orange flavor, powder",388,1,0,94
"Frostings, vanilla, creamy, dry mix",410,5,0,94
"Puddings, tapioca, dry mix, with no added salt",369,0,0,94
"Candies, jellybeans",375,0,0,94
"Beverages, tea, green, instant, decaffeinated, lemon, unsweetened, fortified with vitamin C",378,0,0,94
"Puddings, vanilla, dry mix, regular",379,0,0,94
"Puddings, vanilla, dry mix, instant",377,1,0,93
Fondant,373,0,0,93
"Beverages, OVALTINE, Classic Malt powder",372,0,0,93
"Beverages, rich chocolate, powder",372,0,0,93
"Puddings, banana, dry mix, regular",366,0,0,93
"Candies, fondant, prepared-from-recipe",373,0,0,93
"Beverages, OVALTINE, chocolate malt powder",372,0,0,93
"Beverages, Carob-flavor beverage mix, powder",372,0,2,93
"Milk, malted, dry mix, not reconstituted",372,0,0,93
"Puddings, banana, dry mix, instant",367,1,0,93
"Candies, Tamarind",331,0,0,92
"Nougat, plain",398,2,3,92
"Flan, caramel custard, dry mix",348,0,0,92
"Desserts, rennin, chocolate, dry mix",363,3,2,92
Tamarind candy,368,0,0,92
"Puddings, vanilla, dry mix, regular, with added oil",369,1,0,92
"Frostings, chocolate, creamy, dry mix",389,5,1,92
"Candies, taffy, prepared-from-recipe",397,3,0,92
"Puddings, lemon, dry mix, regular",363,0,0,92
Cornstarch,381,0,0,91
Skittles,405,4,0,91
Malt-O-Meal Corn Bursts,385,0,3,91
"Puddings, rice, dry mix",376,0,3,91
"Sucralose-based sweetener, sugar substitute",336,0,0,91
"Cornstarch, dry",381,0,0,91
"Sugars, maple",354,0,0,91
"Frosted rice, NFS",384,0,4,91
"Candies, MARS SNACKFOOD US, SKITTLES Wild Berry Bite Size Candies",402,4,0,91
"Frosted Rice Krispies, Kellogg's",384,0,4,91
"Candies, MARS SNACKFOOD US, SKITTLES Tropical Bite Size Candies",405,4,0,91
"Sweeteners, tabletop, sucralose, SPLENDA packets",336,0,0,91
"Sugar, maple",354,0,0,91
"Candies, MARS SNACKFOOD US, SKITTLES Sours Original",401,4,0,91
"Candies, MARS SNACKFOOD US, SKITTLES Original Bite Size Candies",405,4,0,91
"Popcorn, sugar syrup/caramel, fat-free",381,1,2,90
"Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients",400,2,5,90
